COUNTRY	AUT	CHE	BLX	ESP	FIN	FRA	GBR	GRC	ITA	RFA	SWE	TUR	NOR	BGR	HUN	POL	RCEU	RCZ	ROM	MEME	NOA	EGY	GOLF	WAF	EAF	SAF	RSA	KAZ	RIS	RUS	RUE	UKR	COR	JPN	AUS	NZL	PAC	MON	CHN	TWN	RSAS	NDE	IDN	THA	MYS	PHL	VNM	RSEA	CAN	USA	BRA	MEX	RCAM	CHL	ARG	RSAM	Ship	Air	Ocean	ARCTIC_LAND	ARCTIC_SEA
SWE	-0.000213	-0.000102	-0.000102	-0.0000412	-0.000457	-0.0000603	-0.000133	-0.000138	-0.000153	-0.000243	-0.00105	-0.000137	-0.000408	-0.000184	-0.000205	-0.000362	0.000222	-0.000127	-0.000195	-0.000094	-0.0000686	-0.000124	-0.0000419	-0.0000056	-0.0000008	-0.0000004	-0.000002	-0.0000734	-0.0000638	-0.000169	-0.0000639	-0.000234	-0.0000259	-0.0000228	-0.0000002	-0.0000001	-0.0000006	-0.000025	-0.0000152	-0.0000088	-0.0000135	-0.0000069	-0.0000014	-0.0000025	-0.0000019	-0.0000013	-0.0000037	-0.0000034	-0.0000191	-0.0000107	-0.0000016	-0.0000024	-0.0000049	-0.0000001	-0.0000003	-0.0000008	0	0	0	0.00159	0.00172
TUR	-0.000475	-0.000432	-0.000598	-0.000519	-0.000893	-0.000532	-0.000702	-0.00753	-0.000495	-0.00051	-0.000771	-0.0189	-0.000796	-0.00237	-0.000608	-0.000745	-0.000984	-0.000543	-0.00176	-0.0325	-0.00062	-0.0234	-0.0172	-0.00243	-0.00215	-0.0000702	-0.0000316	-0.00221	-0.0047	-0.00264	-0.00122	-0.00171	-0.00138	-0.00152	-0.000024	-0.000023	-0.0000438	-0.00128	-0.0011	-0.00103	-0.0034	-0.00288	-0.0000428	-0.000623	-0.000107	-0.000337	-0.000481	-0.000873	-0.000611	-0.000545	-0.000056	-0.000306	-0.000496	-0.0000172	-0.0000146	-0.000118	0	0	0	0.0032	0.00314
NOR	-0.000686	-0.000571	-0.000856	-0.000315	-0.00184	-0.000578	-0.00122	-0.000841	-0.00082	-0.000872	-0.00246	-0.000633	-0.00409	-0.000563	-0.00068	-0.00128	-0.000886	-0.000672	-0.000924	-0.000489	-0.00045	-0.000648	-0.000208	-0.0000499	-0.0000205	0.0000005	0.0000002	-0.00049	-0.000346	-0.000956	-0.000457	-0.00106	-0.000158	-0.000148	-0.0000005	-0.0000003	-0.0000007	-0.000188	-0.0000886	-0.0000459	-0.0000545	-0.0000275	-0.0000023	-0.0000089	-0.0000036	-0.0000098	-0.0000094	-0.0000102	-0.000105	-0.0000528	0.0000008	-0.0000123	-0.0000156	0.0000006	0.0000002	-0.0000033	0	0	0	0.00355	0.00301
BGR	-0.000759	-0.000401	-0.000235	-0.000349	-0.000366	-0.000307	-0.000256	-0.0102	-0.000725	-0.000242	-0.00028	-0.00482	-0.000304	-0.00161	-0.00105	-0.000586	-0.00186	-0.000548	-0.00204	-0.00795	-0.000952	-0.011	-0.00271	-0.00166	-0.000678	-0.0000318	-0.0000191	-0.000726	-0.00112	-0.000871	-0.000479	-0.00127	-0.000436	-0.000473	-0.0000113	-0.0000115	-0.0000132	-0.000418	-0.000347	-0.000311	-0.000732	-0.000667	-0.0000201	-0.000167	-0.0000437	-0.000104	-0.000136	-0.000222	-0.000196	-0.000171	-0.000029	-0.00012	-0.000307	-0.0000092	-0.0000069	-0.000078	0	0	0	0.000382	0.000356
HUN	-0.000901	-0.000258	-0.000198	-0.000357	-0.000336	-0.000202	-0.000147	-0.00212	-0.00187	-0.000174	-0.000169	-0.00115	-0.000216	-0.00104	-0.00175	-0.000924	-0.00109	-0.000733	-0.00158	-0.00138	-0.000981	-0.00184	-0.000732	-0.000325	-0.000131	-0.0000071	-0.0000045	-0.000456	-0.000515	-0.000568	-0.000315	-0.000871	-0.000178	-0.000169	-0.0000021	-0.0000025	-0.0000048	-0.000191	-0.000132	-0.000077	-0.000209	-0.000163	-0.0000033	-0.0000452	-0.000005	-0.0000216	-0.0000332	-0.0000619	-0.0000738	-0.0000552	-0.000001	-0.0000317	-0.0000901	-0.0000023	-0.0000009	-0.0000221	0	0	0	0.000885	0.000808
POL	-0.00267	-0.00103	-0.000948	-0.000669	-0.00221	-0.000858	-0.00114	-0.00535	-0.00408	-0.00176	-0.00247	-0.00385	-0.00171	-0.00427	-0.00502	-0.00495	-0.00406	-0.00314	-0.00493	-0.00358	-0.0014	-0.00445	-0.00169	-0.000407	-0.000193	-0.0000087	-0.0000054	-0.00177	-0.00173	-0.00287	-0.00129	-0.00433	-0.000596	-0.00054	-0.0000031	-0.0000035	-0.0000055	-0.000681	-0.000402	-0.000187	-0.000457	-0.000307	-0.0000065	-0.0000949	-0.000011	-0.0000407	-0.0000727	-0.000122	-0.000267	-0.000179	-0.0000053	-0.0000614	-0.000133	-0.0000035	-0.000001	-0.0000284	0	0	0	0.00441	0.00403
RCEU	-0.00181	-0.000633	-0.000382	-0.00069	-0.00053	-0.000482	-0.000365	-0.00887	-0.00361	-0.000491	-0.000458	-0.00368	-0.000448	-0.00307	-0.00285	-0.00116	-0.00851	-0.00153	-0.00313	-0.005	-0.00234	-0.00705	-0.00267	-0.00143	-0.000548	-0.0000262	-0.0000131	-0.00103	-0.00144	-0.00121	-0.0007	-0.00175	-0.000537	-0.00057	-0.0000082	-0.0000094	-0.0000161	-0.000534	-0.000423	-0.000332	-0.00083	-0.000686	-0.0000146	-0.000156	-0.0000308	-0.000102	-0.000134	-0.000218	-0.000245	-0.000203	-0.0000216	-0.000133	-0.000369	-0.0000073	-0.0000044	-0.0000887	0	0	0	0.0023	0.00217
RCZ	-0.00088	-0.000335	-0.000259	-0.000284	-0.000296	-0.000225	-0.00018	-0.0012	-0.00205	-0.000237	-0.000145	-0.000824	-0.000171	-0.00122	-0.00105	-0.000487	-0.00143	-0.0012	-0.00113	-0.000858	-0.000703	-0.00112	-0.000452	-0.000142	-0.0000666	-0.0000063	-0.0000038	-0.000317	-0.000361	-0.000432	-0.000223	-0.000679	-0.000136	-0.000121	-0.0000026	-0.0000014	0.0000002	-0.000141	-0.0000895	-0.0000495	-0.000127	-0.0000916	-0.0000054	-0.0000333	-0.0000186	-0.0000145	-0.0000253	-0.0000383	-0.0000582	-0.0000461	-0.0000009	-0.000021	-0.0000518	-0.0000003	-0.0000004	-0.0000121	0	0	0	0.00144	0.00133
ROM	-0.000491	-0.000177	-0.000152	-0.000196	-0.000276	-0.000146	-0.000147	-0.00306	-0.000473	-0.000277	-0.000184	-0.00225	-0.000198	-0.00249	-0.00173	-0.000656	-0.000563	-0.00201	-0.00661	-0.00314	-0.000501	-0.00412	-0.00118	-0.000221	-0.000168	-0.0000077	-0.0000049	-0.000484	-0.000611	-0.000676	-0.000339	-0.00137	-0.000221	-0.000221	-0.0000007	-0.0000021	-0.0000051	-0.000229	-0.000167	-0.000109	-0.000293	-0.000231	-0.0000052	-0.0000603	-0.0000083	-0.0000354	-0.0000473	-0.0000787	-0.0000916	-0.0000724	-0.0000044	-0.000038	-0.0000766	-0.0000024	0.0000004	-0.0000163	0	0	0	0.00132	0.00119
MEME	-0.000297	-0.000286	-0.000374	-0.000333	-0.000478	-0.000345	-0.000459	-0.00108	-0.000369	-0.000329	-0.000447	-0.00363	-0.000491	-0.000553	-0.000328	-0.000395	-0.000401	-0.000321	-0.000495	-0.0146	-0.000408	-0.0069	-0.0128	-0.0018	-0.00194	-0.0000462	-0.0000182	-0.00122	-0.00284	-0.0011	-0.000647	-0.00055	-0.00081	-0.000929	-0.0000133	-0.0000131	-0.0000281	-0.000706	-0.000681	-0.000706	-0.00292	-0.00274	-0.0000307	-0.000508	-0.0000931	-0.000271	-0.000379	-0.000805	-0.000398	-0.000377	-0.0000343	-0.000225	-0.000337	-0.0000088	-0.0000087	-0.0000783	0	0	0	0.000834	0.000831
NOA	-0.00155	-0.00122	-0.000889	-0.00413	-0.000721	-0.00138	-0.000889	-0.00414	-0.00445	-0.000884	-0.000815	-0.0027	-0.000752	-0.00242	-0.00166	-0.00108	-0.00289	-0.00121	-0.0018	-0.00378	-0.0162	-0.0046	-0.00371	-0.00437	-0.00112	-0.0000526	-0.0000285	-0.00101	-0.00172	-0.00107	-0.000715	-0.00119	-0.00085	-0.00108	-0.0000142	-0.0000165	-0.0000343	-0.000738	-0.000639	-0.000787	-0.00143	-0.00125	-0.0000284	-0.0002	-0.0000676	-0.000244	-0.000241	-0.000326	-0.000438	-0.000394	-0.0000645	-0.000327	-0.00101	-0.0000107	-0.0000096	-0.000308	0	0	0	0.00262	0.00264
EGY	-0.00016	-0.000156	-0.0002	-0.000245	-0.000213	-0.00019	-0.000228	-0.000672	-0.000211	-0.000172	-0.000205	-0.00133	-0.000206	-0.000355	-0.000176	-0.000184	-0.000264	-0.000165	-0.000301	-0.00339	-0.000357	-0.00854	-0.00448	-0.00334	-0.00269	-0.0000783	-0.0000111	-0.000541	-0.00122	-0.000452	-0.000289	-0.000264	-0.000477	-0.0005	-0.0000112	-0.0000107	-0.0000201	-0.000343	-0.000336	-0.000379	-0.00138	-0.00148	-0.0000214	-0.000256	-0.0000606	-0.000163	-0.0002	-0.000451	-0.000201	-0.0002	-0.0000567	-0.000147	-0.000297	-0.0000056	-0.0000073	-0.0000999	0	0	0	0.000814	0.000837
GOLF	-0.00168	-0.00171	-0.00216	-0.00227	-0.00233	-0.00207	-0.00247	-0.00294	-0.00191	-0.00185	-0.00231	-0.00918	-0.00248	-0.00211	-0.00173	-0.00204	-0.00195	-0.00176	-0.00203	-0.014	-0.00247	-0.00479	-0.0826	-0.00737	-0.0199	-0.000505	-0.000134	-0.00823	-0.0226	-0.00445	-0.00352	-0.00216	-0.00403	-0.00505	-0.000091	-0.000107	-0.000244	-0.00342	-0.00441	-0.00506	-0.0364	-0.0383	-0.00026	-0.00405	-0.000851	-0.00249	-0.00307	-0.0097	-0.0023	-0.00232	-0.000328	-0.00168	-0.00256	-0.0000732	-0.0000613	-0.000551	0	0	0	0.00802	0.00784
WAF	-0.000231	-0.000124	-0.000258	-0.000447	-0.000239	-0.000233	-0.000319	-0.000517	-0.000338	-0.000214	-0.000292	-0.000508	-0.000301	-0.000372	-0.00026	-0.000248	-0.000356	-0.000232	-0.000306	-0.00068	-0.000988	-0.000719	-0.00116	-0.0133	-0.000969	-0.00025	-0.000157	-0.000333	-0.000621	-0.000276	-0.00024	-0.00026	-0.000313	-0.000414	-0.0000569	-0.0000634	-0.0000496	-0.000267	-0.000304	-0.000429	-0.000857	-0.00104	-0.0000535	-0.000179	-0.0000746	-0.000204	-0.000194	-0.000394	-0.000205	-0.000208	-0.000417	-0.000257	-0.00115	-0.0000352	-0.0000327	-0.000948	0	0	0	0.00222	0.00235
EAF	-0.0000584	0.0000047	-0.0000492	-0.0000271	-0.0000696	0.0000287	-0.0000787	-0.0000995	-0.0000462	-0.0000526	-0.000104	-0.000133	-0.000104	-0.0000664	-0.0000524	-0.0000699	-0.0000642	-0.0000585	-0.0000672	-0.000188	-0.000209	-0.000177	-0.000605	-0.0104	-0.0111	-0.0042	-0.00131	-0.000125	-0.000205	-0.0000872	-0.0000866	-0.000078	-0.000103	-0.000125	-0.00036	-0.000371	-0.000144	-0.0000903	-0.0000703	-0.0000388	-0.000484	-0.000789	-0.000129	0.00022	0.000158	0.000407	0.000269	-0.00012	-0.0000604	-0.0000338	-0.00126	0.0000262	-0.000055	-0.000206	-0.000179	-0.00035	0	0	0	0.00272	0.00283
SAF	0.0000514	0.0000211	0.0000213	0.000049	0.0000054	0.0000543	0.000004	0.0000277	0.0000288	0.000011	-0.0000114	0.000027	-0.0000157	0.0000104	0.0000065	-0.0000015	0.0000058	0.0000214	-0.0000059	0.0000112	0.0000067	0.0000264	-0.0000228	-0.00495	-0.00487	-0.0195	-0.011	0.0000039	0.0000062	0.0000065	0.0000051	0.0000031	0.000014	0.000014	-0.00175	-0.00197	-0.000649	0.0000066	0.0000097	0.0000219	-0.0000111	-0.0000593	-0.000344	-0.0000099	-0.0000104	0.0000208	0.0000085	-0.0000137	0.0000113	0.0000209	-0.00203	0.0000344	-0.0000396	-0.000909	-0.000649	-0.00037	0	0	0	0.000304	0.000323
RSA	-0.0000012	0.0000002	0.0000065	0.000041	-0.0000044	0.0000184	0.0000097	0.0000016	-0.0000086	0.0000002	-0.0000103	0.0000083	-0.0000079	0.0000058	0.0000013	0.0000002	0.0000034	-0.0000011	0.0000037	0.0000107	-0.0000007	0.0000159	-0.0000102	-0.000265	-0.00142	-0.011	-0.0396	-0.0000049	0.0000003	-0.000002	-0.0000021	-0.0000029	-0.0000023	0.0000061	-0.00341	-0.00366	-0.00111	0.0000083	0.0000009	0.0000053	-0.0000039	-0.0000385	-0.000536	-0.0000213	-0.000016	0.0000045	-0.0000038	-0.0000163	-0.000001	0.0000005	-0.00145	0.0000047	0.0000006	-0.00178	-0.00127	-0.000135	0	0	0	0.0000182	0.0000202
KAZ	-0.000461	-0.000359	-0.000569	-0.000368	-0.0014	-0.000493	-0.000701	-0.0007	-0.00032	-0.000477	-0.000892	-0.00111	-0.00101	-0.000792	-0.000479	-0.000746	-0.000421	-0.000497	-0.000771	-0.000597	-0.000234	-0.000612	-0.00193	-0.0000439	-0.0000422	-0.0000016	-0.0000017	-0.00842	-0.00702	-0.00285	-0.00476	-0.00165	-0.00178	-0.00174	-0.000002	-0.0000023	-0.0000044	-0.0026	-0.00162	-0.000681	-0.00122	-0.000396	-0.0000022	-0.000116	-0.0000208	-0.0000809	-0.000145	-0.000144	-0.000662	-0.000473	-0.0000018	-0.000113	-0.000092	-0.0000004	-0.0000015	-0.0000093	0	0	0	0.00468	0.0038
RIS	-0.000206	-0.00016	-0.000202	-0.00015	-0.000252	-0.000214	-0.000204	-0.000194	-0.000148	-0.000173	-0.000207	-0.000292	-0.000239	-0.000172	-0.000144	-0.000186	-0.000129	-0.000177	-0.000151	-0.000149	-0.000116	-0.000158	-0.000811	-0.0000283	-0.0000362	-0.0000007	-0.0000006	-0.00341	-0.01	-0.000403	-0.000556	-0.000262	-0.000367	-0.000454	-0.0000011	-0.0000023	-0.0000044	-0.000391	-0.000416	-0.000279	-0.00135	-0.000443	-0.000001	-0.0000558	-0.0000096	-0.0000475	-0.0000641	-0.0000857	-0.000181	-0.000148	-0.0000019	-0.0000645	-0.0000552	-0.0000015	-0.0000009	-0.0000055	0	0	0	0.00157	0.00157
RUS	-0.00125	-0.000728	-0.00101	-0.00059	-0.00379	-0.000829	-0.00115	-0.00656	-0.000883	-0.00102	-0.00193	-0.0126	-0.00192	-0.00745	-0.00245	-0.00303	-0.00236	-0.00189	-0.00689	-0.00706	-0.00044	-0.00719	-0.00621	-0.000191	-0.000171	-0.0000115	-0.0000072	-0.00976	-0.0107	-0.0123	-0.00568	-0.0118	-0.00217	-0.00206	-0.0000055	-0.0000072	-0.0000102	-0.00259	-0.00165	-0.000652	-0.00188	-0.000769	-0.0000063	-0.000169	-0.0000181	-0.0000869	-0.000145	-0.000257	-0.000898	-0.000612	-0.000008	-0.000144	-0.000145	-0.0000037	-0.0000036	-0.0000218	0	0	0	0.016	0.013
RUE	-0.000811	-0.000692	-0.00105	-0.000731	-0.00197	-0.000909	-0.00125	-0.000984	-0.000637	-0.000893	-0.00146	-0.00121	-0.00168	-0.00126	-0.000897	-0.00126	-0.000754	-0.000913	-0.00136	-0.000628	-0.000449	-0.000745	-0.000933	-0.0000472	-0.0000219	0.0000008	0.0000008	-0.0051	-0.00294	-0.00279	-0.00696	-0.00219	-0.00575	-0.00524	0	-0.0000004	-0.0000032	-0.00669	-0.0029	-0.00122	-0.000472	-0.000135	-0.0000015	-0.000122	-0.0000318	-0.000142	-0.000215	-0.0000989	-0.00149	-0.000983	-0.0000015	-0.000186	-0.000148	0.0000014	0	-0.0000095	0	0	0	0.0027	-0.00028
UKR	-0.00138	-0.000649	-0.000724	-0.00037	-0.00196	-0.000616	-0.000781	-0.00817	-0.0011	-0.000799	-0.00136	-0.00902	-0.00124	-0.00892	-0.00278	-0.0029	-0.00324	-0.00201	-0.00795	-0.0072	-0.000461	-0.00825	-0.00363	-0.000369	-0.00024	-0.0000108	-0.0000059	-0.00363	-0.00447	-0.00473	-0.00224	-0.00823	-0.00112	-0.00107	-0.0000041	-0.0000057	-0.0000074	-0.00136	-0.000913	-0.000396	-0.00101	-0.000501	-0.0000062	-0.00012	-0.0000146	-0.0000668	-0.000106	-0.00016	-0.00047	-0.000337	-0.000011	-0.0000962	-0.000126	-0.0000042	-0.0000029	-0.0000253	0	0	0	0.00374	0.00331
COR	-0.000135	-0.000162	-0.000196	-0.000266	-0.000192	-0.000234	-0.000234	-0.000141	-0.000171	-0.000163	-0.000176	-0.000124	-0.000201	-0.000127	-0.000127	-0.000159	-0.00013	-0.000138	-0.00013	-0.000108	-0.000146	-0.000131	-0.0000717	-0.0000254	-0.0000084	-0.0000006	-0.0000004	-0.000121	-0.000105	-0.00015	-0.000372	-0.00015	-0.0108	-0.0043	-0.0000012	-0.0000013	-0.0000103	-0.00644	-0.00273	-0.0038	-0.0000706	-0.0000457	-0.0000088	-0.000301	-0.0000681	-0.000436	-0.000641	-0.000254	-0.000239	-0.00023	0.0000031	-0.000114	-0.0000985	-0.0000008	-0.0000006	-0.0000096	0	0	0	0.00558	0.00588
JPN	-0.000171	-0.00019	-0.000248	-0.000247	-0.00022	-0.000262	-0.000276	-0.000191	-0.000184	-0.000203	-0.000235	-0.000159	-0.000258	-0.000164	-0.00016	-0.000193	-0.000169	-0.000172	-0.00016	-0.000138	-0.000171	-0.000167	-0.0000902	-0.0000355	-0.0000145	-0.0000009	-0.0000004	-0.000145	-0.000122	-0.000173	-0.000265	-0.000177	-0.00212	-0.0102	-0.0000001	-0.0000003	-0.0000111	-0.000791	-0.000475	-0.00135	-0.0000649	-0.0000497	-0.0000074	-0.000095	-0.0000451	-0.000297	-0.000175	-0.0000867	-0.000289	-0.000272	0.0000017	-0.00014	-0.000119	-0.0000008	-0.0000005	-0.0000129	0	0	0	0.00508	0.00515
AUS	-0.0000147	-0.0000171	-0.0000282	-0.0000265	-0.00001	-0.0000296	0.0000005	-0.0000094	0.0000131	-0.0000075	0.0000062	-0.0000006	0.0000088	-0.0000104	-0.000013	-0.0000062	-0.0000116	-0.0000134	-0.0000083	-0.0000018	-0.0000084	0.0000061	-0.000013	-0.000013	-0.000167	-0.000438	-0.000909	-0.0000135	-0.0000172	-0.0000088	-0.0000112	-0.0000095	-0.0000104	-0.0000138	-0.0108	-0.0039	-0.00176	-0.0000134	-0.0000082	-0.000009	-0.0000139	-0.0000198	-0.00292	-0.0000278	-0.000699	-0.000166	-0.0000167	-0.0000147	-0.00001	-0.0000102	-0.0006	-0.0000099	-0.0000195	-0.0016	-0.00106	-0.00012	0	0	0	0.000114	0.000118
NZL	2.83E-08	2.341E-08	2.392E-08	1.046E-07	-1.347E-09	7.866E-08	-3.537E-09	1.853E-09	-5.036E-08	2.863E-09	-3.082E-08	-1.381E-08	-5.744E-08	1.448E-08	2.206E-08	1.347E-09	1.246E-08	2.341E-08	1.263E-08	-6.232E-09	2.358E-09	-7.748E-09	1.347E-09	-7.916E-09	-5.895E-07	-0.000001836	-0.000006165	6.063E-09	1.263E-08	8.421E-10	3.537E-09	-3.874E-09	1.937E-08	1.246E-08	-0.00001684	-0.0002779	-0.000004025	1.448E-08	6.906E-09	1.364E-08	8.927E-09	-2.274E-08	-3.689E-07	-1.078E-08	5.053E-10	1.179E-08	-1.516E-09	-5.726E-09	1.297E-08	1.179E-08	-0.000002526	5.895E-09	7.579E-09	-0.0000164	-0.000009752	-0.000000384	0	0	0	0.00000137	0.000000868
