COUNTRY,AUT,CHE,BLX,ESP,FIN,FRA,GBR,GRC,ITA,RFA,SWE,TUR,NOR,BGR,HUN,POL,RCEU,RCZ,ROM,MEME,NOA,EGY,GOLF,WAF,EAF,SAF,RSA,KAZ,RIS,RUS,RUE,UKR,COR,JPN,AUS,NZL,PAC,MON,CHN,TWN,RSAS,NDE,IDN,THA,MYS,PHL,VNM,RSEA,CAN,USA,BRA,MEX,RCAM,CHL,ARG,RSAM,Ship,Air,Ocean
SWE,0.001559,0.002474,0.00184,0.000279,0.021352,0.001891,0.002946,0.002995,0.001421,-0.008591,-0.245723,0.002748,-0.002848,0.002597,0.002034,0.008617,0.000859,0.002862,0.002028,0.001278,0.000476,0.001534,0.00053,0.000052,0.000022,-0.000003,-0.000002,0.00299,0.002046,0.0055,0.002527,0.002252,0.00004,0.000053,-0.000002,-0.000001,-0.000006,0.000094,0.000259,0.000034,0.000106,-0.000005,-0.000007,-0.000002,-0.000014,-0.00003,-0.000002,-0.000004,0.000405,0.000166,-0.000005,-0.000008,0,-0.000002,-0.000001,-0.000008,0,0,0.000811
TUR,0.004219,0.00402,0.005577,0.004794,0.00859,0.005029,0.006674,0.125215,0.004721,0.004714,0.00721,-0.078186,0.008046,-0.008826,0.005587,0.00699,0.012029,0.004783,0.000989,0.282197,0.004363,0.23733,0.086841,0.003985,0.003419,0.00002,-0.000003,0.02028,0.039063,0.030822,0.011994,0.008107,0.014352,0.016978,0.000003,0.000006,0.000073,0.013291,0.010698,0.009652,0.011405,0.005939,0.000052,0.00161,0.000391,0.001695,0.001874,0.00197,0.006554,0.005471,0.000001,0.001848,0.001727,-0.000001,-0.000001,0.000187,0,0,0.009569
NOR,0.008659,0.0088,0.015838,0.002397,0.031549,0.008576,0.019196,0.004972,0.005937,0.014279,0.029844,0.003942,-0.274442,0.005082,0.005147,0.014412,0.004855,0.009203,0.005646,0.002313,0.002271,0.002843,0.000868,0.000028,0.000016,-0.000013,-0.00001,0.006323,0.003429,0.010639,0.006742,0.007894,0.000905,0.000885,-0.000005,-0.000005,-0.000011,0.001217,0.000716,0.000228,0.000171,0.000002,-0.000007,-0.00001,-0.000015,-0.000016,0.000003,-0.000012,0.001313,0.000552,-0.000009,0.000009,0.000002,-0.000005,-0.000005,-0.000009,0,0,0.002834
BGR,-0.000236,0.000999,0.000626,0.000502,0.000282,0.000786,0.000633,0.036679,0.001179,0.000553,0.000267,0.017092,0.000522,-0.404233,0.003569,0.000742,-0.004657,0.000485,-0.015178,0.012665,0.001487,0.021259,0.002125,0.001412,0.000586,0.000003,0.000003,0.001424,0.00224,0.001414,0.000864,-0.00176,0.000999,0.001226,0.000001,0.000002,0.000002,0.000945,0.000755,0.000556,0.00063,0.000338,0.000004,0.000085,0.000023,0.000084,0.000092,0.000107,0.000494,0.000411,-0.000001,0.000148,0.000228,0.000001,0,0.00004,0,0,-0.000061
HUN,-0.03041,0.000787,0.000116,0.000212,-0.001393,0.000448,0.000021,0.005725,0.003777,-0.000794,-0.003162,0.004003,-0.001018,0.004228,-0.497373,-0.009469,-0.028121,-0.053472,-0.014583,0.003137,0.001993,0.003992,0.001456,0.000359,0.000143,0.000002,0.000001,0.001205,0.001841,-0.000958,0.000196,-0.003653,0.000309,0.000463,0,0,0.000001,0.000326,0.000429,0.000232,0.000362,0.000169,-0.000002,0.000054,0.000001,0.000023,0.000047,0.000066,0.000153,0.000167,-0.000001,0.000055,0.000087,0,0,0.000015,0,0,-0.005429
POL,-0.02111,-0.000843,-0.002406,-0.001567,-0.008092,-0.002118,-0.000541,0.013633,-0.002837,-0.021254,-0.032963,0.012649,-0.012121,0.003273,-0.047767,-0.631994,-0.009453,-0.230657,-0.011163,0.008857,0.000913,0.009749,0.00365,0.000535,0.000211,-0.000012,-0.000007,0.004573,0.007085,-0.006832,-0.000386,-0.024938,0.000275,0.000821,-0.000004,-0.000004,-0.000012,0.000242,0.001182,0.00035,0.000802,0.000249,-0.000012,0.000072,-0.000033,-0.000053,0.00005,0.000098,0.000344,0.00039,-0.000005,0.000075,0.000087,-0.000004,-0.000004,-0.000002,0,0,-0.026191
RCEU,-0.037241,0.002819,0.001753,0.001609,0.000934,0.002231,0.001801,0.052427,0.02918,0.001724,0.001002,0.01907,0.001696,0.038622,-0.017621,0.003598,-0.170145,0.005047,0.01015,0.01305,0.007307,0.015488,0.005209,0.001702,0.000571,0,-0.000005,0.004162,0.005675,0.004028,0.002571,0.005032,0.002351,0.002924,-0.000001,-0.000001,0.000007,0.002308,0.001833,0.001498,0.001557,0.000766,-0.000002,0.000203,0.00004,0.000238,0.000254,0.000244,0.001259,0.001003,0.000002,0.000304,0.000417,-0.000001,0,0.000068,0,0,0.000525
RCZ,-0.146972,-0.004553,-0.003113,-0.001068,-0.005987,-0.003205,-0.002275,0.00658,-0.000843,-0.043141,-0.015818,0.004389,-0.005828,-0.001692,-0.184776,-0.089295,-0.010835,-0.665967,-0.009133,0.00274,0.001065,0.003001,0.001992,0.000933,0.000301,0.000002,0,0.001579,0.002935,-0.002417,-0.000246,-0.009531,0.000164,0.000405,0.000002,0.000001,-0.000002,0.000157,0.000581,0.000268,0.000532,0.00023,0,0.000076,0.000007,0.000013,0.000057,0.000097,0.000078,0.000176,0.000004,0.000089,0.000222,0.000001,0.000001,0.000047,0,0,-0.016348
ROM,-0.000164,0.001394,0.001606,0.000558,-0.000901,0.001394,0.001376,0.033226,0.001121,0.001278,-0.000817,0.02817,0.000594,-0.086845,-0.025215,0.002131,-0.018192,0.001176,-0.48073,0.031384,0.002418,0.041006,0.005037,-0.000712,-0.000101,-0.000009,-0.000004,0.004072,0.005332,0.00267,0.00221,-0.016507,0.001819,0.002201,-0.000004,-0.000004,-0.000003,0.00186,0.001509,0.000923,0.001022,0.000384,-0.000004,0.000128,0.000006,0.000098,0.000137,0.000135,0.000847,0.000725,-0.000006,0.000189,0.000122,-0.000004,-0.000004,-0.00001,0,0,-0.004346
MEME,0.001385,0.001474,0.001935,0.001791,0.002566,0.001806,0.002233,0.004483,0.001614,0.001651,0.002221,0.022794,0.002437,0.002098,0.001507,0.002022,0.001679,0.001545,0.002075,-0.397402,0.00153,-0.001176,0.062197,0.001837,0.002544,0.000037,0.000014,0.005935,0.011871,0.007182,0.003365,0.003057,0.004044,0.005129,0.000013,0.000015,0.000065,0.003502,0.003239,0.003546,0.006322,0.004617,0.000051,0.001242,0.000271,0.000917,0.001078,0.001544,0.00213,0.001921,0.000022,0.000866,0.000975,0.00001,0.000008,0.000149,0,0,0.004037
NOA,0.016913,0.013157,0.010099,0.058113,0.008407,0.015188,0.010091,0.071725,0.055696,0.009808,0.008944,0.045217,0.008841,0.040679,0.021401,0.011994,0.043754,0.013724,0.027306,0.051109,0.299966,0.071703,0.023135,0.027881,0.005458,0.000029,-0.000004,0.011664,0.016407,0.013434,0.009216,0.016484,0.010731,0.014172,0.000003,0.000006,0.000084,0.009271,0.007406,0.008911,0.007873,0.005141,0.000069,0.001231,0.000471,0.002152,0.00183,0.001566,0.005647,0.004651,0.000075,0.002631,0.007642,-0.000003,-0.000002,0.001761,0,0,0.012524
EGY,0.00119,0.00116,0.001473,0.001481,0.001814,0.001388,0.001677,0.010126,0.001787,0.001277,0.001651,0.015779,0.001816,0.004571,0.001341,0.001426,0.002871,0.001196,0.003359,0.042969,0.002683,-0.480172,0.028128,0.01813,0.019005,0.000059,0.000021,0.003953,0.007904,0.004275,0.002327,0.002465,0.003027,0.003881,0.00002,0.000023,0.00009,0.002476,0.002385,0.002734,0.004635,0.003992,0.000068,0.00109,0.000262,0.000958,0.000948,0.001391,0.001574,0.001468,0.000025,0.000838,0.001487,0.000014,0.000006,0.000406,0,0,0.003304
GOLF,0.010935,0.0113,0.014279,0.013932,0.016603,0.013438,0.01642,0.019013,0.011607,0.01232,0.01585,0.076005,0.017395,0.013235,0.011286,0.013752,0.012344,0.011579,0.012789,0.11805,0.012025,0.030847,0.559583,0.020682,0.072502,0.001285,0.000419,0.063861,0.184721,0.042719,0.025928,0.014776,0.026318,0.034399,0.000361,0.000398,0.001191,0.02413,0.027211,0.028462,0.175576,0.113617,0.000911,0.021107,0.003526,0.010875,0.015037,0.030745,0.016159,0.015348,0.000642,0.009124,0.011526,0.000301,0.000226,0.002358,0,0,0.053482
WAF,0.003993,0.004174,0.004684,0.007237,0.003929,0.005128,0.005191,0.007541,0.00548,0.00398,0.004564,0.007033,0.004833,0.005085,0.00396,0.003879,0.005011,0.003756,0.004265,0.007785,0.013663,0.00931,0.012258,0.981806,0.025201,0.006515,0.001849,0.004991,0.008187,0.004102,0.003972,0.003981,0.00488,0.006518,0.001007,0.00106,0.001868,0.004186,0.005004,0.007333,0.010749,0.013091,0.001332,0.005375,0.00288,0.007544,0.005701,0.007222,0.003428,0.003393,0.009295,0.004245,0.019352,0.000608,0.000603,0.022421,0,0,0.024941
EAF,0.003349,0.0039,0.004095,0.005936,0.003437,0.004519,0.00475,0.004978,0.004137,0.003577,0.003908,0.005434,0.004481,0.003512,0.003126,0.003198,0.003695,0.003122,0.003133,0.007318,0.007558,0.006419,0.026308,0.227704,0.963193,0.20189,0.027209,0.004209,0.00717,0.003363,0.003328,0.002998,0.003305,0.005377,0.012139,0.013437,0.012893,0.002957,0.006078,0.010149,0.01902,0.036483,0.009793,0.021282,0.011173,0.021916,0.017694,0.022862,0.003701,0.00412,0.028035,0.00538,0.011679,0.00709,0.005608,0.01084,0,0,0.038335
SAF,-0.000118,-0.000097,-0.000186,-0.000236,-0.000156,-0.000089,-0.000184,-0.000229,-0.000146,-0.000154,-0.00018,-0.000233,-0.000158,-0.000171,-0.000118,-0.000157,-0.000149,-0.00013,-0.000149,-0.000298,-0.000358,-0.000275,0.000101,0.05383,0.09749,0.806208,0.230976,-0.000134,-0.000199,-0.000155,-0.000111,-0.000162,-0.000254,-0.000292,0.034222,0.036796,0.015668,-0.00019,-0.000156,-0.00029,0.000114,0.001276,0.0062,0.000678,0.000337,0.000015,0.000211,0.00055,-0.00016,-0.000292,0.02677,-0.000717,-0.00022,0.018777,0.013548,0.003679,0,0,0.013234
RSA,0.001169,0.001377,0.0015,0.002169,0.001146,0.001616,0.001697,0.001754,0.001465,0.001284,0.001337,0.001814,0.001408,0.001363,0.001166,0.001178,0.001392,0.001132,0.001207,0.002052,0.002197,0.0022,0.00345,0.00451,0.013363,0.026021,0.029836,0.001275,0.002444,0.001096,0.001005,0.001093,0.001129,0.001658,0.025161,0.02818,0.012963,0.000996,0.00142,0.002063,0.003603,0.004818,0.004864,0.002199,0.001317,0.002676,0.001943,0.00271,0.001043,0.002317,0.062475,0.026718,0.111869,0.032034,0.109037,0.952831,0,0,0.006378
KAZ,0.002983,0.002908,0.004371,0.003148,0.008285,0.003617,0.00523,0.003792,0.002596,0.003768,0.006172,0.005356,0.006862,0.004691,0.003163,0.004872,0.00294,0.003412,0.004899,0.002664,0.001912,0.002685,0.006945,0.000147,0.000074,-0.00001,-0.000009,0.071345,0.042411,0.018818,0.034218,0.00971,0.01192,0.011767,-0.000005,-0.000005,0.000012,0.016701,0.010612,0.004166,0.003187,0.000661,-0.000008,0.000321,0.000039,0.000452,0.000639,0.000303,0.005563,0.003911,-0.00001,0.000749,0.000514,-0.000006,-0.000004,0.000019,0,0,0.00476
RIS,0.002908,0.002952,0.004045,0.003376,0.006179,0.003566,0.004677,0.003797,0.002816,0.003516,0.005201,0.005441,0.005624,0.003926,0.003202,0.00441,0.003133,0.003328,0.003858,0.003302,0.002405,0.003235,0.030745,0.000384,0.000308,0.000028,0.00002,-0.024053,-0.206699,0.013992,0.010924,0.006129,0.008613,0.010383,0.00002,0.000023,0.000096,0.009384,0.009373,0.006287,0.035107,0.005317,0.000044,0.001142,0.000206,0.001048,0.00139,0.001511,0.004609,0.004071,0.000029,0.001545,0.0011,0.000018,0.000015,0.000096,0,0,0.008562
RUS,-0.000154,0.001499,0.005393,0.003135,-0.039021,0.003371,0.007243,0.036739,0.000867,0.003078,0.001488,0.103017,0.009691,0.047047,0.004082,-0.000972,0.005788,0.001573,0.03945,0.036191,0.001541,0.037494,0.042903,0.000313,0.000271,-0.000037,-0.000034,0.096991,0.094392,-0.345326,0.027398,0.044919,0.014357,0.015462,-0.000021,-0.00002,-0.00004,0.017425,0.013612,0.004486,0.008768,0.002126,-0.00005,0.000555,-0.000052,0.000128,0.000564,0.000714,0.007231,0.004961,-0.000037,0.00067,0.000402,-0.000022,-0.000018,-0.000061,0,0,0.007533
RUE,0.021427,0.023646,0.0375,0.02544,0.049536,0.030417,0.045767,0.018313,0.018787,0.03057,0.043679,0.01988,0.054484,0.020739,0.020845,0.031589,0.017747,0.023945,0.022889,0.012034,0.013593,0.012752,0.011629,0.000717,0.000183,-0.000137,-0.000113,0.088336,0.043132,0.040222,-0.054709,0.034818,0.171683,0.166375,-0.000076,-0.000077,-0.000043,0.21174,0.072947,0.023051,0.004814,0.001212,-0.000101,0.000859,0.000212,0.002481,0.002276,0.0006,0.056403,0.033696,-0.000129,0.004442,0.003217,-0.000078,-0.000062,0.000049,0,0,0.021678
UKR,-0.002494,0.002115,0.003869,0.000551,-0.005759,0.002098,0.003735,0.030549,-0.000101,0.002424,-0.002426,0.058417,0.000345,0.041203,-0.037923,-0.008613,0.002009,-0.0153,-0.000571,0.017272,0.000848,0.021495,0.008781,0.000553,0.000384,-0.000006,-0.000008,0.013098,0.016658,-0.003856,0.003323,-0.212293,0.003303,0.003765,-0.000005,-0.000006,-0.000009,0.004024,0.003252,0.001298,0.001883,0.000617,-0.000015,0.000196,-0.000013,0.000061,0.000193,0.00023,0.001512,0.001211,-0.000006,0.000231,0.000194,-0.000007,-0.000005,-0.000005,0,0,-0.002496
COR,0.003109,0.003424,0.004477,0.004171,0.004211,0.004132,0.005153,0.003286,0.003293,0.003774,0.0046,0.002874,0.005218,0.002996,0.002957,0.003625,0.003019,0.003207,0.002998,0.002532,0.003064,0.002859,0.001593,0.000446,0.000171,0.000005,0.000001,0.002882,0.002394,0.003209,0.006725,0.003255,-1.522772,0.050653,0.000003,0.000003,0.000161,-0.001355,0.030678,0.055352,0.001065,0.000667,0.000151,0.001961,0.001231,0.006092,0.00472,0.001584,0.005809,0.005079,0.000005,0.001869,0.001662,0.000003,0.000004,0.000148,0,0,0.003411
JPN,0.010529,0.011583,0.014929,0.014191,0.013991,0.013914,0.017199,0.011125,0.011328,0.012598,0.015341,0.009423,0.017445,0.009986,0.009947,0.012108,0.010182,0.010787,0.009988,0.008192,0.010844,0.009649,0.00506,0.001798,0.000682,0.000002,-0.000009,0.009185,0.007291,0.010515,0.016365,0.010774,0.084531,-0.771934,-0.000008,-0.000006,0.000556,0.033844,0.018201,0.056177,0.00355,0.002474,0.000253,0.002407,0.00179,0.011693,0.004991,0.002364,0.019364,0.017071,0.000005,0.007127,0.006382,-0.000003,0,0.000637,0,0,0.00695
AUS,0.00016,0.00014,0.00015,0.000215,0.00009,0.000195,0.000141,0.000134,0.000116,0.000124,0.000102,0.000156,0.000143,0.000098,0.000117,0.000086,0.000122,0.00012,0.000092,0.000186,0.00016,0.000173,0.000333,0.000493,0.005969,0.014913,0.032286,0.000167,0.000286,0.000102,0.000111,0.000087,0.000012,0.000082,0.118681,0.163509,0.081394,0.000047,0.000155,0.000148,0.000442,0.00084,0.176659,0.000717,0.005079,0.002864,0.000452,0.000554,0.000094,0.000141,0.021274,0.000461,0.000857,0.060281,0.040475,0.004361,0,0,0.001201
NZL,-0.000035,-0.000036,-0.000004,-0.000036,-0.000001,-0.000052,-0.000004,-0.000008,-0.000007,-0.000016,0.000005,0.000001,0.000009,-0.000007,-0.000017,-0.000005,-0.000004,-0.000025,-0.000008,-0.000009,-0.000018,-0.000024,-0.000005,0.000003,0.000348,0.001085,0.003669,-0.000005,-0.000008,-0.000003,-0.000001,0,-0.000005,0,0.010068,0.165018,0.002401,0.000004,-0.000003,-0.000009,-0.000004,0.000012,0.000222,0.000008,0,-0.000006,-0.000001,0.000005,-0.000002,-0.000003,0.001508,-0.000003,-0.000006,0.009783,0.005813,0.000233,0,0,0.000076
PAC,0.00004,0.000034,0.000038,0.000025,0.000032,0.000011,0.000038,0.000046,0.000037,0.000039,0.000043,0.000058,0.00005,0.000033,0.000039,0.000031,0.000044,0.000034,0.000032,0.000071,0.000063,0.000066,0.000101,0.000116,0.000385,0.000688,0.000888,0.000054,0.000091,0.000036,0.000037,0.00003,0.000021,0.000014,0.001263,0.001228,0.128574,0.000028,0.000061,0.000059,0.000132,0.000179,0.009777,0.000301,0.002694,0.002629,0.000364,0.000213,0.000036,0.000051,0.00096,0.000165,0.000274,0.001106,0.000809,0.000375,0,0,0.000231
MON,0.001462,0.001593,0.002207,0.001766,0.002255,0.00187,0.002552,0.00139,0.001434,0.001865,0.00239,0.001249,0.002788,0.001365,0.001403,0.001823,0.001345,0.00156,0.00143,0.001038,0.001244,0.001124,0.000638,0.000116,0.000038,-0.000006,-0.000006,0.001667,0.001113,0.00166,0.00592,0.001638,-0.053952,0.023373,-0.000004,-0.000003,0.000022,-0.127753,0.012674,0.008007,0.000318,0.000163,0.000015,0.000459,0.000206,0.001106,0.000962,0.000317,0.003275,0.002488,-0.000005,0.000573,0.000437,-0.000004,-0.000003,0.000027,0,0,0.001625
CHN,0.041869,0.045081,0.056344,0.056279,0.053783,0.053162,0.064494,0.046222,0.043594,0.04875,0.057653,0.043854,0.064314,0.041874,0.04067,0.048134,0.041633,0.043178,0.041626,0.042248,0.044294,0.04517,0.033842,0.010354,0.005473,0.001444,0.001095,0.07899,0.079775,0.044734,0.080459,0.044697,0.422659,0.284403,0.001017,0.00115,0.006329,0.444172,0.803542,0.783729,0.063801,0.039612,0.00777,0.320552,0.056493,0.107537,0.67482,0.265584,0.068989,0.069715,0.00155,0.041017,0.034949,0.000988,0.000848,0.004197,0,0,0.130943
TWN,0.001639,0.001815,0.002103,0.002504,0.001834,0.002153,0.002402,0.002143,0.001969,0.001806,0.002043,0.001956,0.002206,0.001764,0.001611,0.00178,0.001796,0.001638,0.001667,0.001986,0.002223,0.002246,0.001736,0.000798,0.000497,0.000142,0.000106,0.001589,0.001926,0.001627,0.00155,0.001679,0.012952,0.009458,0.00009,0.000104,0.000994,0.005642,0.025922,0.033699,0.002495,0.002121,0.002099,0.029763,0.016121,0.043543,0.051998,0.019519,0.002088,0.002747,0.000152,0.003137,0.00313,0.000089,0.000076,0.000466,0,0,0.006108
RSAS,0.002284,0.002399,0.002834,0.003238,0.002649,0.002824,0.003228,0.00281,0.002518,0.00248,0.002817,0.002821,0.003047,0.002427,0.002253,0.00251,0.002443,0.002303,0.002342,0.003001,0.002882,0.003024,0.007462,0.001409,0.002703,0.000183,0.000111,0.006947,0.020475,0.002664,0.002947,0.002441,0.003645,0.005466,0.000109,0.000127,0.000592,0.003011,0.009715,0.009139,0.640591,0.219161,0.000417,0.009163,0.001254,0.004702,0.003249,0.05182,0.002803,0.003609,0.000162,0.003813,0.003478,0.000101,0.000083,0.00048,0,0,0.206731
NDE,0.007419,0.008022,0.009073,0.010999,0.007837,0.009346,0.01034,0.009376,0.008458,0.007971,0.00871,0.009447,0.009431,0.007771,0.007207,0.007789,0.007914,0.007344,0.007381,0.010801,0.010778,0.011007,0.031099,0.009995,0.02792,0.002381,0.000811,0.008677,0.021441,0.007387,0.006931,0.007337,0.009394,0.015245,0.0008,0.000905,0.003686,0.007822,0.034014,0.038267,0.79808,1.306905,0.004089,0.132402,0.014139,0.030703,0.051196,0.292726,0.008554,0.011655,0.001141,0.014927,0.016413,0.000725,0.000574,0.002905,0,0,0.542138
IDN,0.000633,0.000793,0.000786,0.001239,0.000552,0.000963,0.000943,0.000845,0.000742,0.000698,0.000666,0.000834,0.000816,0.000616,0.0006,0.000566,0.0007,0.000589,0.000558,0.000968,0.001122,0.001023,0.001651,0.002849,0.012002,0.009347,0.008422,0.000687,0.001151,0.000514,0.000528,0.000487,-0.001102,0.000353,0.010721,0.010237,0.082484,-0.000516,0.001266,0.011288,0.003273,0.006124,1.30885,0.04125,0.934189,0.152522,0.041441,0.020831,0.000565,0.000895,0.01037,0.002509,0.004716,0.009586,0.007347,0.004143,0,0,0.025533
THA,0.001697,0.001876,0.002131,0.002686,0.001809,0.002229,0.002442,0.002249,0.002048,0.001831,0.002047,0.002056,0.002235,0.001816,0.001647,0.001762,0.001904,0.001654,0.001687,0.002177,0.002526,0.002404,0.00264,0.001721,0.001952,0.000591,0.000379,0.001581,0.002111,0.001608,0.001479,0.001655,0.002013,0.003853,0.000361,0.000405,0.002028,0.001809,0.022818,0.03602,0.009803,0.017769,0.007157,0.829856,0.063317,0.029181,0.166768,0.227446,0.002015,0.002753,0.000556,0.003891,0.004402,0.000355,0.000285,0.000938,0,0,0.04048
